Н,а,з,в,а,н,и,е, ,в,а,к,а,н,с,и,и
К,о,м,п,а,н,и,я
З,а,р,п,л,а,т,а
С,с,ы,л,к,а
Аналитик / бизнес-аналитик,Сталепромышленная компания,до 125 000 ₽ на руки,
Аналитик маркетплейсов,Rubi.by,50 000 – 70 000 ₽ на руки,
Системный аналитик,Goodt,100 000 – 180 000 ₽ на руки,
Бизнес-аналитик,ООО САПФИР - Интеграция,от 60 000 ₽ на руки,
IT Системный аналитик (middle+),ООО П Солюшен,200 000 – 250 000 ₽ на руки,
Аналитик данных,ООО Уральская Агропромышленная Группа,от 90 000 ₽ на руки,
Системный аналитик,ООО СофтМедиаЛаб,170 000 – 250 000 ₽ на руки,
ГИС-аналитик,Алабуга. Проектный менеджмент,до 300 000 ₽ до вычета налогов,
Бизнес-аналитик Битрикс24/специалист Битрикс24/архитектор Битрикс24,ООО Соль,100 000 – 100 000 ₽ до вычета налогов,
Программист технической поддержки MS SQL,Люди Дела,80 000 – 120 000 ₽ на руки,
Аналитик (офис Академический р-н),ТСТ,от 80 000 ₽ на руки,
Аналитик-разработчик SQL,ГКУ Центр занятости населения города Москвы,от 200 000 ₽ на руки,
"Специалист по технической поддержке ДБО (QA-инженер, системный аналитик)",ООО Информационные системы,от 60 000 ₽ на руки,
Бизнес-аналитик,Boxberry: Офис,от 110 000 ₽ на руки,
Аналитик данных/Data analyst,KONNEKTU,до 110 000 ₽ на руки,
Аналитик данных (Middle),DNS Технологии,от 90 000 ₽ на руки,
Продуктовый аналитик,Сайтсофт,от 120 000 ₽ на руки,
Продуктовый аналитик,Zoon.ru,180 000 – 240 000 ₽ на руки,
Аналитик 1С ЗУП (junior),ООО Уральская Агропромышленная Группа,70 000 – 70 000 ₽ на руки,
Ведущий аналитик данных,ЭР-Телеком,100 000 – 100 000 ₽ на руки,
BI-Аналитик,ООО Business-I24,50 000 – 50 000 ₽ на руки,
Системный аналитик,ООО Сима-ленд,от 180 000 ₽ на руки,
Аналитик ИТ,ДОБРОЦЕН,до 180 000 ₽ на руки,
Системный аналитик/System Analyst (junior),Aston,80 000 – 110 000 ₽ до вычета налогов,
Системный аналитик,Уральский федеральный университет,от 50 000 ₽ на руки,
Ведущий аналитик,"Живика, аптечная сеть",от 80 000 ₽ на руки,
Аналитик центра операционных закупок,ПАО «МТС»,от 64 000 ₽ до вычета налогов,
Web - аналитик,ООО Брусника,от 80 000 ₽ на руки,
Аналитик данных Power BI,ЦБУ,от 76 700 ₽ на руки,
Системный аналитик/System Analysis (стажер),Aston,70 000 – 80 000 ₽ до вычета налогов,
Системный аналитик (middle),ООО Эйби Флоу,от 150 000 ₽ на руки,
Программист 1С-аналитик,ЕМУП «Спецавтобаза»,от 57 000 ₽ на руки,
Системный аналитик/ System Analysis (ученик),Aston,70 000 – 80 000 ₽ до вычета налогов,
Тестировщик,"Монетка, Торговая сеть",от 94 000 ₽ на руки,
Аналитик инженер баз данных,Мой логопед,от 150 000 ₽ на руки,
Ведущий инженер (Автоматизация ИБ),Уральский центр систем безопасности,от 150 000 ₽ до вычета налогов,
Java Team/Tech Lead,ООО Русофт,от 300 000 ₽ на руки,
Начальник бюро систем мониторинга оборудования,АО Уральский завод гражданской авиации,от 128 000 ₽ на руки,
Junior Data Scientist (не удалённо),ООО Сима-ленд,70 000 – 100 000 ₽ на руки,
Инженер технической поддержки,ООО СТАРКОВ Групп,от 45 000 ₽ на руки,
Технический писатель (специалист по технической документации),ООО Информационные системы,от 60 000 ₽ на руки,
Ручной тестировщик,ООО АЙТИ.СПЕЙС,до 185 000 ₽ на руки,
Руководитель группы разработки (TeamLead),ООО АйТиНавигатор,от 200 000 ₽ на руки,
